Product ID,Product Name,Product Category,Unit Price
FU_71,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro® Back, 8-1/2x11, 25/Bx",Furniture,54.74
OF_186,Avery 51,Office Supplies,6.3
OF_187,Avery Poly Binder Pockets,Office Supplies,3.58
OF_188,"Dixon My First Ticonderoga Pencil, #2",Office Supplies,5.85
OF_189,Acco® Hot Clips Clips to Go,Office Supplies,3.29
OF_190,Fiskars® Softgrip Scissors,Office Supplies,10.98
OF_191,"Elite 5"" Scissors",Office Supplies,8.45
FU_72,Eldon Wave Desk Accessories,Furniture,5.89
OF_192,Avery 478,Office Supplies,4.91
OF_193,Boston 16701 Slimline Battery Pencil Sharpener,Office Supplies,15.94
TE_81,"Soundgear Copyboard Conference Phone, Optional Battery",Technology,204.1
OF_194,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,98.31
OF_195,Euro Pro Shark Stick Mini Vacuum,Office Supplies,60.98
FU_73,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,107.53
OF_196,Avery 498,Office Supplies,2.89
OF_197,Premium Transparent Presentation Covers by GBC,Office Supplies,20.98
FU_74,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Furniture,100.8
OF_198,GBC VeloBinder Electric Binding Machine,Office Supplies,120.98
OF_199,Brown Kraft Recycled Envelopes,Office Supplies,16.98
TE_82,A1228,Technology,195.99
FU_75,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,136.98
TE_83,8290,Technology,125.99
TE_84,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Technology,115.99
OF_200,Fellowes Neat Ideas® Storage Cubes,Office Supplies,32.48
FU_76,"Lesro Round Back Collection Coffee Table, End Table",Furniture,182.55
OF_201,Avery 492,Office Supplies,2.88
OF_202,Newell 343,Office Supplies,2.94
TE_85,Canon S750 Color Inkjet Printer,Technology,120.97
OF_203,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,Office Supplies,21.98
TE_86,"AT&T Black Trimline Phone, Model 210",Technology,15.99
OF_204,Newell 318,Office Supplies,2.78
OF_205,"Staples Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Office Supplies,6.47
OF_206,Avery 491,Office Supplies,4.13
TE_87,T18,Technology,110.99
OF_207,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,279.81
OF_208,Honeywell Quietcare HEPA Air Cleaner,Office Supplies,78.65
OF_209,Staples Colored Bar Computer Paper,Office Supplies,35.44
OF_210,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Office Supplies,11.66
OF_211,Staples Battery-Operated Desktop Pencil Sharpener,Office Supplies,10.48
FU_77,Eldon® 200 Class Desk Accessories,Furniture,6.28
TE_88,"Memorex 80 Minute CD-R, 30/Pack",Technology,22.98
OF_212,"Dual Level, Single-Width Filing Carts",Office Supplies,155.06
TE_89,"Fellowes Smart Design 104-Key Enhanced Keyboard, PS/2 Adapter, Platinum",Technology,55.94
FU_78,"Master Giant Foot® Doorstop, Safety Yellow",Furniture,7.59
OF_213,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Office Supplies,5.98
TE_90,Epson DFX-8500 Dot Matrix Printer,Technology,2550.14
OF_214,Xerox 194,Office Supplies,55.48
TE_91,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,Technology,28.99
OF_215,Avery 493,Office Supplies,4.91
FU_79,"Bevis Round Bullnose 29"" High Table Top",Furniture,259.71
OF_216,Xerox 197,Office Supplies,30.98
FU_80,"Eldon® Expressions Wood Desk Accessories, Oak",Furniture,7.38
OF_217,Xerox 1935,Office Supplies,26.38
OF_218,Peel & Stick Add-On Corner Pockets,Office Supplies,2.16
OF_219,Eureka The Boss® Cordless Rechargeable Stick Vac,Office Supplies,50.98
OF_220,Xerox 1905,Office Supplies,6.48
OF_221,Fellowes Bankers Box Staxonsteel® Drawer File/Stacking System,Office Supplies,64.98
FU_81,"Executive Impressions 13"" Clairmont Wall Clock",Furniture,19.23
OF_222,Staples SlimLine Pencil Sharpener,Office Supplies,11.97
OF_223,Presstex Flexible Ring Binders,Office Supplies,4.55
TE_92,"Memorex 4.7GB DVD+RW, 3/Pack",Technology,28.48
FU_82,Eldon Image Series Black Desk Accessories,Furniture,4.14
OF_224,Avery 485,Office Supplies,12.53
